% Model,attempt10-785nm_step3.mph
% Version,COMSOL 6.1.0.282
% Date,"Nov 11 2025, 16:27"
% Table,E^4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),ewfd.normE^4 (kg^4*m^6/(s^12*A^4))
315.0,75.00000000000001,0.785,4.065198004780603e+18
315.0,80.0,0.785,4.03543650479221e+18
315.0,85.00000000000001,0.785,4.084252696356568e+18
315.0,90.00000000000001,0.785,4.042245858854952e+18
315.0,95.0,0.785,4.140505398862557e+18
315.0,100.0,0.785,4.100261720329968e+18
315.0,105.0,0.785,4.262710031057434e+18
315.0,110.0,0.785,4.074993204153676e+18
315.0,115.0,0.785,4.206969408611796e+18
315.0,119.99999999999999,0.785,4.214716919708684e+18
315.0,125.0,0.785,4.233777890857465e+18
315.0,130.0,0.785,4.130830442307801e+18
315.0,135.0,0.785,4.25660737225302e+18
315.0,140.0,0.785,4.265344209507084e+18
315.0,145.0,0.785,4.190974424296445e+18
315.0,150.0,0.785,4.3057126788508e+18
315.0,155.0,0.785,4.216974590092251e+18
315.0,160.0,0.785,4.299468369952935e+18
315.0,165.0,0.785,4.389896680190337e+18
315.0,170.0,0.785,4.378647180855862e+18
315.0,175.0,0.785,4.314028965607859e+18
315.0,180.0,0.785,4.348735729920247e+18
315.0,185.0,0.785,4.244155129253824e+18
315.0,190.0,0.785,4.524936829113435e+18
315.0,195.0,0.785,4.536827775225521e+18
315.0,200.0,0.785,4.484235130001052e+18
315.0,205.0,0.785,4.554988449598098e+18
315.0,210.0,0.785,4.623300397839255e+18
315.0,215.0,0.785,4.743142392857241e+18
315.0,220.0,0.785,4.646921783615224e+18
315.0,225.0,0.785,4.613707725903228e+18
315.0,230.0,0.785,4.651059671273605e+18
315.0,235.0,0.785,4.630360961415434e+18
315.0,239.99999999999997,0.785,4.772289857627971e+18
315.0,244.99999999999997,0.785,4.692643461733473e+18
315.0,250.0,0.785,4.813056512640332e+18
315.0,255.0,0.785,4.842057170618141e+18
315.0,260.0,0.785,5.004091336567562e+18
315.0,265.0,0.785,4.962593702220344e+18
315.0,270.0,0.785,5.165800511023076e+18
315.0,275.0,0.785,5.073959614206595e+18
315.0,280.0,0.785,4.986089437299233e+18
315.0,285.0,0.785,5.018960456606603e+18
315.0,290.0,0.785,4.916163955126381e+18
315.0,295.0,0.785,5.321462088715807e+18
315.0,300.0,0.785,5.308752810687626e+18
315.0,305.0,0.785,5.314575259272682e+18
315.0,310.0,0.785,5.43431824973283e+18
315.0,315.0,0.785,5.640683739448068e+18
315.0,320.0,0.785,5.69816492935658e+18
315.0,325.0,0.785,5.636559504559868e+18
315.0,330.0,0.785,5.877245964371698e+18
315.0,335.0,0.785,5.68817379086031e+18
315.0,340.0,0.785,5.839088720150343e+18
315.0,345.0,0.785,6.059285780653013e+18
315.0,350.0,0.785,6.141276206803698e+18
315.0,355.0,0.785,6.211428096462629e+18
315.0,360.0000000000001,0.785,6.483343898992067e+18
315.0,365.0,0.785,6.376142423581218e+18
315.0,370.0,0.785,6.501539826020337e+18
315.0,375.0,0.785,6.812014075494349e+18
315.0,380.0,0.785,6.968679166285296e+18
315.0,385.0,0.785,7.10716778472696e+18
315.0,390.0,0.785,7.611429274363861e+18
315.0,395.0,0.785,7.845698863828652e+18
315.0,400.0,0.785,8.200194978828879e+18
315.0,405.0,0.785,8.42408365684334e+18
315.0,410.0,0.785,8.954206517261059e+18
315.0,415.0000000000001,0.785,9.69747004592591e+18
315.0,420.0,0.785,1.003759785209067e+19
315.0,425.0,0.785,1.130199532049142e+19
315.0,430.0,0.785,1.197985311713612e+19
315.0,435.0,0.785,1.352935749649545e+19
315.0,440.0,0.785,1.457970807263908e+19
315.0,445.0,0.785,1.762909377328547e+19
315.0,450.0,0.785,2.060110722700593e+19
315.0,455.0,0.785,2.754520610131192e+19
315.0,460.0,0.785,3.551004686932551e+19
315.0,465.0000000000001,0.785,5.582835339989247e+19
315.0,470.0000000000001,0.785,1.002039469803341e+20
315.0,475.0,0.785,2.300855422552235e+20
315.0,480.00000000000006,0.785,8.722807147883756e+20
315.0,485.0,0.785,3.171930422003126e+21
315.0,490.00000000000006,0.785,3.944416612888664e+20
315.0,495.0,0.785,1.843630636734207e+19
315.0,500.00000000000006,0.785,1.045860380228209e+18
320.0,0.0,0.785,4.762935733449499e+18
320.0,5.0,0.785,4.342263340945284e+18
320.0,10.0,0.785,4.236104020897403e+18
320.0,15.000000000000002,0.785,4.313185949906277e+18
320.0,20.0,0.785,4.161252043192288e+18
320.0,25.000000000000004,0.785,4.201921403440603e+18
320.0,30.000000000000004,0.785,4.243183147718563e+18
320.0,35.0,0.785,4.307033934195197e+18
320.0,40.0,0.785,4.287836461911719e+18
320.0,45.000000000000014,0.785,4.271671658470048e+18
320.0,50.00000000000001,0.785,4.352375259362871e+18
320.0,55.0,0.785,4.300530336743644e+18
320.0,60.00000000000002,0.785,4.348368049448055e+18
320.0,65.0,0.785,4.367245925713466e+18
320.0,70.0,0.785,4.434328139484295e+18
320.0,75.00000000000001,0.785,4.415972541370405e+18
320.0,80.0,0.785,4.455666389326294e+18
320.0,85.00000000000001,0.785,4.372245533625777e+18
320.0,90.00000000000001,0.785,4.569769422247999e+18
320.0,95.0,0.785,4.460392921582529e+18
320.0,100.0,0.785,4.502517720695968e+18
320.0,105.0,0.785,4.493472577096112e+18
320.0,110.0,0.785,4.506624223350792e+18
320.0,115.0,0.785,4.496534297976317e+18
320.0,119.99999999999999,0.785,4.62895146625512e+18
320.0,125.0,0.785,4.577295390631644e+18
320.0,130.0,0.785,4.633239108971242e+18
320.0,135.0,0.785,4.653264240214359e+18
320.0,140.0,0.785,4.59050944395068e+18
320.0,145.0,0.785,4.660418504269005e+18
320.0,150.0,0.785,4.677859962649666e+18
320.0,155.0,0.785,4.798359129589808e+18
320.0,160.0,0.785,4.763439994016612e+18
320.0,165.0,0.785,4.741255706950306e+18
320.0,170.0,0.785,4.804665086983953e+18
320.0,175.0,0.785,4.887567315678124e+18
320.0,180.0,0.785,4.727039310140522e+18
320.0,185.0,0.785,4.955363190827677e+18
320.0,190.0,0.785,4.824719330777222e+18
320.0,195.0,0.785,5.001379286021044e+18
320.0,200.0,0.785,4.99886486691409e+18
320.0,205.0,0.785,4.951833885957261e+18
320.0,210.0,0.785,5.085641327936902e+18
320.0,215.0,0.785,4.726600075700733e+18
320.0,220.0,0.785,5.138746841139917e+18
320.0,225.0,0.785,5.126060498256882e+18
320.0,230.0,0.785,5.080405898128715e+18
320.0,235.0,0.785,5.291186662932255e+18
320.0,239.99999999999997,0.785,5.355222036610095e+18
320.0,244.99999999999997,0.785,5.281658090301462e+18
320.0,250.0,0.785,5.241762775892279e+18
320.0,255.0,0.785,5.262653302687828e+18
320.0,260.0,0.785,5.38343114965828e+18
320.0,265.0,0.785,5.535281698608018e+18
320.0,270.0,0.785,5.471831554707711e+18
320.0,275.0,0.785,5.434112907328817e+18
320.0,280.0,0.785,5.650924755167131e+18
320.0,285.0,0.785,5.732104951529572e+18
320.0,290.0,0.785,5.822477630232044e+18
320.0,295.0,0.785,5.834681611334184e+18
320.0,300.0,0.785,5.958042022333371e+18
320.0,305.0,0.785,6.091295930294794e+18
320.0,310.0,0.785,6.116605645933037e+18
320.0,315.0,0.785,6.124132221854803e+18
320.0,320.0,0.785,6.186462029570439e+18
320.0,325.0,0.785,6.49292633369578e+18
320.0,330.0,0.785,6.554056629009026e+18
320.0,335.0,0.785,6.220740219515086e+18
320.0,340.0,0.785,6.723033833275067e+18
320.0,345.0,0.785,7.060096286757857e+18
320.0,350.0,0.785,6.956504953336149e+18
320.0,355.0,0.785,7.025029189203014e+18
320.0,360.0000000000001,0.785,7.309900350104274e+18
320.0,365.0,0.785,7.382947979894899e+18
320.0,370.0,0.785,7.19910729158625e+18
320.0,375.0,0.785,7.954403268568301e+18
320.0,380.0,0.785,8.433809079917878e+18
320.0,385.0,0.785,8.3085604877987e+18
320.0,390.0,0.785,8.644823257280793e+18
320.0,395.0,0.785,9.324385213024453e+18
320.0,400.0,0.785,9.600227286290326e+18
320.0,405.0,0.785,1.037520482348498e+19
320.0,410.0,0.785,1.092535362684317e+19
