% Model,attempt7 - 45deg ate 600 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:41"
% Table,Table 4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
4.000000000000000E2,3.500000000000000E2,6.330000000000000E-1,3.893032848956594E20
4.000000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.373880920133170E20
4.000000000000000E2,4.000000000000000E2,6.330000000000000E-1,3.370381571072309E19
4.000000000000000E2,4.249999999999999E2,6.330000000000000E-1,9.822085458448430E19
4.000000000000000E2,4.500000000000000E2,6.330000000000000E-1,3.738513132118067E20
4.000000000000000E2,4.749999999999999E2,6.330000000000000E-1,2.101477013505218E21
4.000000000000000E2,5.000000000000000E2,6.330000000000000E-1,2.444686219975089E20
4.000000000000000E2,5.250000000000000E2,6.330000000000000E-1,3.177009594222866E19
4.000000000000000E2,5.500000000000000E2,6.330000000000000E-1,5.026588624376617E18
4.000000000000000E2,5.749999999999999E2,6.330000000000000E-1,2.355965105557585E19
4.000000000000000E2,6.000000000000000E2,6.330000000000000E-1,8.628521665074760E19
4.000000000000000E2,6.250000000000000E2,6.330000000000000E-1,4.572166394805307E20
4.000000000000000E2,6.500000000000000E2,6.330000000000000E-1,1.000054819348914E22
4.000000000000000E2,6.749999999999999E2,6.330000000000000E-1,5.497675277854375E19
4.000000000000000E2,7.000000000000000E2,6.330000000000000E-1,2.763649724444640E18
4.249999999999999E2,0.000000000000000E0,6.330000000000000E-1,7.983227330134583E19
4.249999999999999E2,2.500000000000000E1,6.330000000000000E-1,5.808069596974896E19
4.249999999999999E2,5.000000000000000E1,6.330000000000000E-1,6.761478838744803E19
4.249999999999999E2,7.500000000000000E1,6.330000000000000E-1,7.916062804420998E19
4.249999999999999E2,1.000000000000000E2,6.330000000000000E-1,1.081383041986264E20
4.249999999999999E2,1.250000000000000E2,6.330000000000000E-1,1.496496043034219E20
4.249999999999999E2,1.500000000000000E2,6.330000000000000E-1,2.067481020207012E20
