% Model,attempt7 - 45deg ate 300 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:40"
% Table,Table 3 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
1.250000000000000E2,3.000000000000000E2,6.330000000000000E-1,4.635868520819891E17
1.250000000000000E2,3.250000000000000E2,6.330000000000000E-1,4.445105586048379E17
1.250000000000000E2,3.500000000000000E2,6.330000000000000E-1,3.988123598223622E17
1.250000000000000E2,3.749999999999999E2,6.330000000000000E-1,4.110020515771847E17
1.250000000000000E2,4.000000000000000E2,6.330000000000000E-1,4.265625475212643E17
1.250000000000000E2,4.249999999999999E2,6.330000000000000E-1,4.001785654255464E17
1.250000000000000E2,4.500000000000000E2,6.330000000000000E-1,3.649890514621583E17
1.250000000000000E2,4.749999999999999E2,6.330000000000000E-1,3.535398624729994E17
1.250000000000000E2,5.000000000000000E2,6.330000000000000E-1,3.520306627016755E17
1.250000000000000E2,5.250000000000000E2,6.330000000000000E-1,3.153233498659270E17
1.250000000000000E2,5.500000000000000E2,6.330000000000000E-1,5.201454123355601E17
1.250000000000000E2,5.749999999999999E2,6.330000000000000E-1,4.494755974030150E17
1.250000000000000E2,6.000000000000000E2,6.330000000000000E-1,3.764353105308042E17
1.250000000000000E2,6.250000000000000E2,6.330000000000000E-1,3.415348990031380E17
1.250000000000000E2,6.500000000000000E2,6.330000000000000E-1,6.369852756173464E17
1.250000000000000E2,6.749999999999999E2,6.330000000000000E-1,4.185430947509847E17
1.250000000000000E2,7.000000000000000E2,6.330000000000000E-1,4.213387565273048E17
1.500000000000000E2,0.000000000000000E0,6.330000000000000E-1,1.629970221761276E19
1.500000000000000E2,2.500000000000000E1,6.330000000000000E-1,9.749874920797148E17
1.500000000000000E2,5.000000000000000E1,6.330000000000000E-1,9.797265291121829E17
1.500000000000000E2,7.500000000000000E1,6.330000000000000E-1,9.378861372473183E17
1.500000000000000E2,1.000000000000000E2,6.330000000000000E-1,1.007850319839428E18
1.500000000000000E2,1.250000000000000E2,6.330000000000000E-1,9.941301876492942E17
1.500000000000000E2,1.500000000000000E2,6.330000000000000E-1,9.647395740619087E17
1.500000000000000E2,1.750000000000000E2,6.330000000000000E-1,9.676412449517660E17
1.500000000000000E2,2.000000000000000E2,6.330000000000000E-1,1.011670306675630E18
1.500000000000000E2,2.250000000000000E2,6.330000000000000E-1,1.057962741898140E18
1.500000000000000E2,2.500000000000000E2,6.330000000000000E-1,1.074043901188513E18
1.500000000000000E2,2.750000000000000E2,6.330000000000000E-1,9.935369814017852E17
1.500000000000000E2,3.000000000000000E2,6.330000000000000E-1,1.008607753904080E18
1.500000000000000E2,3.250000000000000E2,6.330000000000000E-1,9.322502760505056E17
1.500000000000000E2,3.500000000000000E2,6.330000000000000E-1,9.169954047314796E17
1.500000000000000E2,3.749999999999999E2,6.330000000000000E-1,9.143055470469956E17
1.500000000000000E2,4.000000000000000E2,6.330000000000000E-1,9.488288265907807E17
1.500000000000000E2,4.249999999999999E2,6.330000000000000E-1,8.530091484678762E17
1.500000000000000E2,4.500000000000000E2,6.330000000000000E-1,9.221180351993085E17
1.500000000000000E2,4.749999999999999E2,6.330000000000000E-1,8.722385514913421E17
1.500000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.605524350223095E18
1.500000000000000E2,5.250000000000000E2,6.330000000000000E-1,8.975358334301504E17
1.500000000000000E2,5.500000000000000E2,6.330000000000000E-1,7.648800113167370E17
1.500000000000000E2,5.749999999999999E2,6.330000000000000E-1,2.129956491681325E18
1.500000000000000E2,6.000000000000000E2,6.330000000000000E-1,9.397545998670432E17
1.500000000000000E2,6.250000000000000E2,6.330000000000000E-1,9.087434944822623E17
1.500000000000000E2,6.500000000000000E2,6.330000000000000E-1,8.820753354626794E17
1.500000000000000E2,6.749999999999999E2,6.330000000000000E-1,7.668989204757235E17
1.500000000000000E2,7.000000000000000E2,6.330000000000000E-1,8.047581274317115E17
1.750000000000000E2,0.000000000000000E0,6.330000000000000E-1,4.561465684015152E18
1.750000000000000E2,2.500000000000000E1,6.330000000000000E-1,1.905759255592807E18
1.750000000000000E2,5.000000000000000E1,6.330000000000000E-1,2.016936452154065E18
1.750000000000000E2,7.500000000000000E1,6.330000000000000E-1,2.081976925389931E18
1.750000000000000E2,1.000000000000000E2,6.330000000000000E-1,2.019581189490180E18
1.750000000000000E2,1.250000000000000E2,6.330000000000000E-1,2.146399991131496E18
1.750000000000000E2,1.500000000000000E2,6.330000000000000E-1,2.019439193501413E18
1.750000000000000E2,1.750000000000000E2,6.330000000000000E-1,2.149413928380161E18
1.750000000000000E2,2.000000000000000E2,6.330000000000000E-1,2.135981083664458E18
1.750000000000000E2,2.250000000000000E2,6.330000000000000E-1,2.248748193080283E18
1.750000000000000E2,2.500000000000000E2,6.330000000000000E-1,2.057770684744590E18
1.750000000000000E2,2.750000000000000E2,6.330000000000000E-1,2.252623519969492E18
1.750000000000000E2,3.000000000000000E2,6.330000000000000E-1,2.141980268503024E18
1.750000000000000E2,3.250000000000000E2,6.330000000000000E-1,1.986840719263783E18
1.750000000000000E2,3.500000000000000E2,6.330000000000000E-1,2.130028456948401E18
1.750000000000000E2,3.749999999999999E2,6.330000000000000E-1,2.024975787604861E18
1.750000000000000E2,4.000000000000000E2,6.330000000000000E-1,2.096004578348485E18
1.750000000000000E2,4.249999999999999E2,6.330000000000000E-1,2.253551265074371E18
1.750000000000000E2,4.500000000000000E2,6.330000000000000E-1,3.499894425412708E18
1.750000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.690586221980723E18
1.750000000000000E2,5.000000000000000E2,6.330000000000000E-1,1.412162872821392E18
1.750000000000000E2,5.250000000000000E2,6.330000000000000E-1,4.211867229713887E18
1.750000000000000E2,5.500000000000000E2,6.330000000000000E-1,2.063095038446756E18
1.750000000000000E2,5.749999999999999E2,6.330000000000000E-1,1.721232974571636E18
1.750000000000000E2,6.000000000000000E2,6.330000000000000E-1,1.670879119796954E18
1.750000000000000E2,6.250000000000000E2,6.330000000000000E-1,1.618065225106545E18
1.750000000000000E2,6.500000000000000E2,6.330000000000000E-1,1.711403045074511E18
1.750000000000000E2,6.749999999999999E2,6.330000000000000E-1,1.597585335631984E18
1.750000000000000E2,7.000000000000000E2,6.330000000000000E-1,2.069328432262951E18
2.000000000000000E2,0.000000000000000E0,6.330000000000000E-1,6.690797243034498E18
2.000000000000000E2,2.500000000000000E1,6.330000000000000E-1,3.961920734198553E18
2.000000000000000E2,5.000000000000000E1,6.330000000000000E-1,4.010377759473061E18
2.000000000000000E2,7.500000000000000E1,6.330000000000000E-1,3.988224333776749E18
2.000000000000000E2,1.000000000000000E2,6.330000000000000E-1,3.915552098441143E18
2.000000000000000E2,1.250000000000000E2,6.330000000000000E-1,4.172610694830172E18
2.000000000000000E2,1.500000000000000E2,6.330000000000000E-1,4.188607211267880E18
2.000000000000000E2,1.750000000000000E2,6.330000000000000E-1,4.089285596496144E18
2.000000000000000E2,2.000000000000000E2,6.330000000000000E-1,4.167023904097944E18
2.000000000000000E2,2.250000000000000E2,6.330000000000000E-1,3.933522650550256E18
2.000000000000000E2,2.500000000000000E2,6.330000000000000E-1,4.296358649940547E18
2.000000000000000E2,2.750000000000000E2,6.330000000000000E-1,4.850177117617691E18
2.000000000000000E2,3.000000000000000E2,6.330000000000000E-1,4.649366333036266E18
2.000000000000000E2,3.250000000000000E2,6.330000000000000E-1,4.551282532754839E18
2.000000000000000E2,3.500000000000000E2,6.330000000000000E-1,5.210726543656517E18
2.000000000000000E2,3.749999999999999E2,6.330000000000000E-1,5.113408759385182E18
2.000000000000000E2,4.000000000000000E2,6.330000000000000E-1,7.751061329394719E18
2.000000000000000E2,4.249999999999999E2,6.330000000000000E-1,3.097704623163524E19
2.000000000000000E2,4.500000000000000E2,6.330000000000000E-1,1.938454682706732E18
2.000000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.557912394386658E18
2.000000000000000E2,5.000000000000000E2,6.330000000000000E-1,3.330856784390796E18
2.000000000000000E2,5.250000000000000E2,6.330000000000000E-1,3.420498657991715E18
2.000000000000000E2,5.500000000000000E2,6.330000000000000E-1,3.411682993737197E18
2.000000000000000E2,5.749999999999999E2,6.330000000000000E-1,3.787260633250492E18
2.000000000000000E2,6.000000000000000E2,6.330000000000000E-1,3.632869170877446E18
2.000000000000000E2,6.250000000000000E2,6.330000000000000E-1,3.880915432155122E18
2.000000000000000E2,6.500000000000000E2,6.330000000000000E-1,4.269349365504599E18
2.000000000000000E2,6.749999999999999E2,6.330000000000000E-1,1.100435092247211E19
2.000000000000000E2,7.000000000000000E2,6.330000000000000E-1,1.970508564131506E18
2.250000000000000E2,0.000000000000000E0,6.330000000000000E-1,1.224811672824219E19
2.250000000000000E2,2.500000000000000E1,6.330000000000000E-1,8.059940963943298E18
2.250000000000000E2,5.000000000000000E1,6.330000000000000E-1,7.505422657769470E18
2.250000000000000E2,7.500000000000000E1,6.330000000000000E-1,7.426010729455288E18
2.250000000000000E2,1.000000000000000E2,6.330000000000000E-1,7.644739087882529E18
